DOGE/LTC;Dogecoin;13868 LTC;0.00007050;0.00007518;0.00006362
CENT/XPM;Pennies;12476 XPM;0.00000003;0.00000004;0.00000002
TIPS/LTC;FedoraCoin;6826 LTC;0.00000057;0.00000067;0.00000054
DOGE/BTC;Dogecoin;3567 BTC;0.00000186;0.00000556;0.00000170
IFC/LTC;InfiniteCoin;1894 LTC;0.00000522;0.00000585;0.00000501
SXC/LTC;SexCoin;1276 LTC;0.00068100;0.00110463;0.00065280
MOON/LTC;MoonCoin;1076 LTC;0.00000520;0.00000536;0.00000502
COL/LTC;ColossusCoin;965 LTC;0.00000018;0.00000018;0.00000016
QRK/LTC;Quark;809 LTC;0.00378947;0.00408000;0.00375205
WDC/LTC;WorldCoin;615 LTC;0.01510000;0.01650000;0.01500001
XPM/LTC;PrimeCoin;568 LTC;0.13756962;0.13999998;0.13486640
IFC/XPM;InfiniteCoin;551 XPM;0.00003944;0.00004247;0.00003770
LTC/BTC;LiteCoin;439 BTC;0.02650000;0.03149372;0.02578724
COL/XPM;ColossusCoin;376 XPM;0.00000129;0.00000150;0.00000119
TIX/LTC;Tickets;353 LTC;0.00000261;0.00000267;0.00000247
FLO/LTC;FlorinCoin;341 LTC;0.00047501;0.00058910;0.00046030
CGB/LTC;CryptogenicBullion;277 LTC;0.04480407;0.05225000;0.04102562
NET/XPM;Netcoin;244 XPM;0.00405134;0.00420200;0.00385001
DGC/LTC;DigitalCoin;228 LTC;0.01201620;0.01275000;0.01099428
NET/LTC;Netcoin;191 LTC;0.00055450;0.00057872;0.00052500
MEC/LTC;MegaCoin;161 LTC;0.02722374;0.02777372;0.02630000
DVC/XPM;DevCoin;147 XPM;0.00019000;0.00019255;0.00017093
MOON/BTC;MoonCoin;116 BTC;0.00000014;0.00000015;0.00000013
ASC/LTC;AsicCoin;115 LTC;0.00005322;0.00005600;0.00005320
ANC/LTC;AnonCoin;105 LTC;0.14280154;0.15796995;0.14000328
WDC/BTC;WorldCoin;104 BTC;0.00039617;0.00041832;0.00039001
ELP/LTC;ElephantCoin;96.9 LTC;0.00010028;0.00015000;0.00009321
LOT/BTC;LottoCoin;90.2 BTC;0.00000027;0.00000029;0.00000026
ZET/LTC;ZetaCoin;87.8 LTC;0.00094216;0.00100000;0.00086001
MEM/LTC;MemeCoin;77.0 LTC;0.00016111;0.00016500;0.00016000
STR/BTC;StarCoin;75.3 BTC;0.00000469;0.00001036;0.00000165
TIX/XPM;Tickets;65.8 XPM;0.00001868;0.00002000;0.00001836
FST/LTC;FastCoin;64.9 LTC;0.00043903;0.00050289;0.00043633
LKY/BTC;LuckyCoin;63.1 BTC;0.00001797;0.00012800;0.00001451
QRK/BTC;Quark;60.3 BTC;0.00010106;0.00010280;0.00009981
DVC/LTC;DevCoin;50.2 LTC;0.00002558;0.00002799;0.00002450
EAC/BTC;EarthCoin;46.0 BTC;0.00000142;0.00000160;0.00000132
MEC/BTC;MegaCoin;44.3 BTC;0.00072032;0.00074441;0.00069550
JKC/LTC;JunkCoin;42.7 LTC;0.00173304;0.00187700;0.00172173
PPC/LTC;Peercoin;39.5 LTC;0.24675798;0.24820011;0.23766697
ASC/XPM;AsicCoin;38.0 XPM;0.00038892;0.00040845;0.00038391
MST/LTC;MasterCoin (Hydro);36.5 LTC;0.00024171;0.00031680;0.00024050
GME/LTC;GameCoin;34.1 LTC;0.00003089;0.00003290;0.00002880
DGC/BTC;DigitalCoin;31.2 BTC;0.00031659;0.00032498;0.00028715
XPM/BTC;PrimeCoin;30.1 BTC;0.00359023;0.00369671;0.00332673
EZC/LTC;EZCoin;29.0 LTC;0.00048000;0.00050010;0.00045400
PPC/BTC;Peercoin;27.8 BTC;0.00652009;0.00665511;0.00620000
CGB/BTC;CryptogenicBullion;27.3 BTC;0.00120961;0.00136000;0.00110000
RPC/BTC;RonPaulCoin;25.3 BTC;0.02061000;0.02509998;0.02010000
ANC/BTC;AnonCoin;22.8 BTC;0.00373634;0.00392159;0.00370003
NET/BTC;Netcoin;20.2 BTC;0.00001462;0.00001524;0.00001403
GLD/LTC;GoldCoin;19.8 LTC;0.00132332;0.00150100;0.00128000
CNC/LTC;CHNCoin;18.2 LTC;0.00064012;0.00068799;0.00064000
PTS/BTC;ProtoShares;17.1 BTC;0.01460003;0.01480048;0.01396000
GLC/BTC;Globalcoin;16.5 BTC;0.00000927;0.00001388;0.00000810
NMC/BTC;NameCoin;16.2 BTC;0.00640019;0.00648996;0.00630000
BCX/BTC;BattleCoin;15.3 BTC;0.00001079;0.00001788;0.00000772
RED/LTC;RedCoin;14.2 LTC;0.00066919;0.00068785;0.00065012
42/BTC;42Coin;12.9 BTC;277.00000000;299.00000100;276.00000000
ARG/BTC;Argentum;12.8 BTC;0.00043605;0.00049999;0.00036501
FRK/BTC;Franko;12.7 BTC;0.00344593;0.00459999;0.00341834
GDC/BTC;GrandCoin;12.4 BTC;0.00000112;0.00000121;0.00000102
XNC/LTC;XenCoin;12.3 LTC;0.00002166;0.00002194;0.00002020
DBL/LTC;Doubloons;12.1 LTC;0.00238545;0.00261246;0.00238500
SBC/LTC;StableCoin;11.5 LTC;0.00187024;0.00199995;0.00000555
PXC/LTC;PhoenixCoin;11.2 LTC;0.00048658;0.00054034;0.00048047
LK7/BTC;Lucky7Coin;10.7 BTC;0.00000315;0.00000700;0.00000237
TAG/BTC;TagCoin;8.42 BTC;0.00154000;0.00160000;0.00151635
ZET/BTC;ZetaCoin;8.16 BTC;0.00002563;0.00002634;0.00002500
UNO/BTC;Unobtanium;6.92 BTC;0.00450001;0.00471980;0.00426661
CPR/LTC;CopperBars;6.71 LTC;0.34100001;0.35497784;0.34100001
BTB/BTC;BitBar;6.63 BTC;0.08086177;0.08447554;0.07000000
FST/BTC;FastCoin;6.58 BTC;0.00001147;0.00001287;0.00001122
FTC/BTC;FeatherCoin;6.13 BTC;0.00033800;0.00035647;0.00033200
BTG/BTC;BitGem;5.91 BTC;0.00389125;0.00439201;0.00326685
DVC/BTC;DevCoin;5.43 BTC;0.00000068;0.00000071;0.00000066
SBC/BTC;StableCoin;4.92 BTC;0.00004994;0.00005089;0.00004890
CLR/BTC;CopperLark;4.68 BTC;0.00038988;0.00040105;0.00035074
XJO/BTC;JouleCoin;4.57 BTC;0.00002621;0.00003088;0.00002550
BET/BTC;Betacoin;4.37 BTC;0.00004133;0.00004598;0.00004100
CAT/BTC;CatCoin;4.19 BTC;0.00044000;0.00047400;0.00041676
RYC/LTC;RoyalCoin;4.05 LTC;0.00022001;0.00024999;0.00021550
DEM/BTC;eMark;3.75 BTC;0.00012601;0.00015198;0.00011800
TGC/BTC;TigerCoin;3.47 BTC;0.00000894;0.00001075;0.00000799
SRC/BTC;SecureCoin;3.23 BTC;0.00118445;0.00126254;0.00115224
MNC/BTC;MinCoin;3.03 BTC;0.00080769;0.00095974;0.00080769
IXC/BTC;IXCoin;2.70 BTC;0.00012380;0.00013333;0.00012200
CSC/BTC;CasinoCoin;2.69 BTC;0.00001735;0.00001837;0.00001626
GLD/BTC;GoldCoin;2.50 BTC;0.00003542;0.00003794;0.00003300
TRC/BTC;TerraCoin;2.46 BTC;0.00039883;0.00041300;0.00039337
FFC/BTC;FireflyCoin;2.39 BTC;0.00000168;0.00000255;0.00000161
FRC/BTC;FreiCoin;2.17 BTC;0.00005576;0.00006190;0.00005500
BTE/BTC;ByteCoin;2.00 BTC;0.00016052;0.00016959;0.00016002
OSC/BTC;OpenSourceCoin;2.00 BTC;0.00004000;0.00004633;0.00003914
DMD/BTC;Diamond;1.98 BTC;0.00087105;0.00096428;0.00080027
NVC/BTC;NovaCoin;1.95 BTC;0.01568000;0.01589984;0.01529968
BQC/BTC;BBQCoin;1.93 BTC;0.00003329;0.00003375;0.00003290
ALF/BTC;AlphaCoin;1.88 BTC;0.00000658;0.00000784;0.00000655
EMD/BTC;Emerald;1.78 BTC;0.00001816;0.00002205;0.00001805
CNC/BTC;CHNCoin;1.72 BTC;0.00001700;0.00001789;0.00001700
NAN/BTC;NanoToken;1.70 BTC;0.00001123;0.00001345;0.00001123
NEC/BTC;NeoCoin;1.34 BTC;0.00004647;0.00004870;0.00004005
ELC/BTC;ElaCoin;1.29 BTC;0.00071324;0.00075252;0.00064500
GLX/BTC;Galaxycoin;1.21 BTC;0.00000411;0.00000430;0.00000390
KGC/BTC;KrugerCoin;1.16 BTC;0.00000425;0.00000450;0.00000400
NRB/BTC;NoirBits;1.13 BTC;0.00005700;0.00006075;0.00005181
Points/BTC;CryptsyPoints;1.13 BTC;0.00080801;0.00083236;0.00080304
PXC/BTC;PhoenixCoin;1.11 BTC;0.00001312;0.00001366;0.00001293
TEK/BTC;TekCoin;0.938 BTC;0.00010734;0.00012298;0.00010010
YBC/BTC;YBCoin;0.807 BTC;0.00487488;0.00556300;0.00469990
ORB/BTC;Orbitcoin;0.768 BTC;0.00013498;0.00015463;0.00013000
CRC/BTC;CraftCoin;0.729 BTC;0.00029261;0.00032932;0.00029102
PYC/BTC;PayCoin;0.665 BTC;0.00003131;0.00004200;0.00002830
CAP/BTC;BottleCaps;0.611 BTC;0.00003259;0.00003543;0.00003255
SPT/BTC;Spots;0.516 BTC;0.00001895;0.00001962;0.00001878
HBN/BTC;HoboNickels;0.487 BTC;0.00007136;0.00007299;0.00006400
CMC/BTC;Cosmoscoin;0.417 BTC;0.00026161;0.00028873;0.00024128
AMC/BTC;AmericanCoin;0.414 BTC;0.00000796;0.00000819;0.00000774
PHS/BTC;PhilosopherStone;0.406 BTC;0.00018101;0.00019814;0.00018101
BUK/BTC;CryptoBuck;0.123 BTC;0.00027200;0.00031298;0.00025000
NBL/BTC;Nibble;0.113 BTC;0.00002422;0.00003178;0.00002422